layer0 maxv:14.2314 minv:-0.927791
layer1 maxv:32.8123 minv:-0.709056
layer2 maxv:34.5739 minv:-33.415
layer3 maxv:41.2826 minv:-2.3032
layer4 maxv:37.511 minv:-1.53891
layer5 maxv:41.6902 minv:-1.76701
layer6 maxv:49.2046 minv:-2.81171
layer7 maxv:45.0415 minv:-1.90144
layer8 maxv:47.9075 minv:-2.2826
layer9 maxv:39.2456 minv:-2.48984
layer10 maxv:45.9884 minv:-2.1967
layer11 maxv:33.4533 minv:-2.66818
layer12 maxv:52.2258 minv:-1.75888
layer13 maxv:36.2466 minv:-2.40211
layer14 maxv:23.5225 minv:-1.52578
layer15 maxv:22.2579 minv:-1.46246
layer16 maxv:28.954 minv:-1.25917
layer17 maxv:28.2663 minv:-1.9141
layer18 maxv:27.2258 minv:-1.55553
layer19 maxv:36.4084 minv:-1.8462
layer20 maxv:27.1118 minv:-1.35984
layer21 maxv:33.3473 minv:-1.42511
layer22 maxv:25.3335 minv:-1.25465
layer23 maxv:22.9224 minv:-1.54855
layer24 maxv:22.2905 minv:-1.13516
layer25 maxv:30.8374 minv:-1.05029
layer26 maxv:16.5328 minv:-1.24625
layer27 maxv:17.6987 minv:-1.19866
layer28 maxv:15.5223 minv:-0.907305
layer29 maxv:21.5148 minv:-1.25656
layer30 maxv:20.3807 minv:-0.901899
layer31 maxv:17.0027 minv:-1.22662
layer32 maxv:18.8881 minv:-1.08026
layer33 maxv:10.5237 minv:-1.03548
layer34 maxv:10.5237 minv:-0.351946
layer35 maxv:10.5237 minv:-0.241831
layer36 maxv:10.5237 minv:-0.219079
layer37 maxv:8.84369 minv:-0.529707
layer38 maxv:10.9925 minv:-0.522686
layer39 maxv:9.17603 minv:-0.633194
layer40 maxv:8.50785 minv:-0.608739
layer41 maxv:8.91453 minv:-0.620354
layer42 maxv:8.27262 minv:-0.564632
layer43 maxv:6.57055 minv:-0.493419
layer44 maxv:9.74411 minv:-0.654988
layer45 maxv:5.4128 minv:-0.398746
layer46 maxv:7.46373 minv:-0.447834
layer47 maxv:6.0122 minv:-0.374292
layer48 maxv:10.0089 minv:-0.394305
layer49 maxv:7.55044 minv:-0.383926
layer50 maxv:12.1639 minv:-0.515052
layer51 maxv:10.0715 minv:-0.383684
layer52 maxv:6.78404 minv:-0.576324
layer53 maxv:8.60812 minv:-0.47445
layer54 maxv:9.30736 minv:-0.406725
layer55 maxv:9.16776 minv:-0.38802
layer56 maxv:3.78213 minv:-0.113785
layer57 maxv:0.958851 minv:0.00334737
layer58 maxv:4.87441 minv:-0.249766
layer59 maxv:10.0639 minv:-0.716984
layer60 maxv:6.31442 minv:-7.01043
layer61 maxv:6.78067 minv:-0.442595
layer62 maxv:4.76921 minv:-6.21998
layer63 maxv:-1.63218 minv:-27.6788
layer64 maxv:11.3225 minv:-0.710942
layer65 maxv:9.4521 minv:-8.29147
layer66 maxv:9.51508 minv:-0.466985
layer67 maxv:11.5502 minv:-9.96176
layer68 maxv:14.2561 minv:-17.916
layer69 maxv:4.87441 minv:-0.249766
layer70 maxv:8.97938 minv:-0.593765
layer71 maxv:8.04323 minv:-0.422721
layer72 maxv:9.5186 minv:-0.609401
layer73 maxv:10.391 minv:-0.522492
layer74 maxv:10.9356 minv:-0.749322
layer75 maxv:12.0707 minv:-0.455792
layer76 maxv:12.149 minv:-0.875654
layer77 maxv:12.0438 minv:-0.627058
layer78 maxv:16.8254 minv:-0.927424
layer79 maxv:17.3527 minv:-0.453147
layer80 maxv:17.2132 minv:-0.926773
layer81 maxv:10.5833 minv:-0.79702
layer82 maxv:2.11522 minv:-0.199374
layer83 maxv:0.972627 minv:0.0266902
layer84 maxv:7.4209 minv:-0.317644
layer85 maxv:20.2886 minv:-0.957383
layer86 maxv:13.9138 minv:-10.1548
layer87 maxv:13.2226 minv:-0.682455
layer88 maxv:14.381 minv:-10.9906
layer89 maxv:2.18663 minv:-37.7339
layer90 maxv:14.8021 minv:-1.47153
layer91 maxv:12.9595 minv:-11.4619
layer92 maxv:12.331 minv:-0.91453
layer93 maxv:12.049 minv:-13.0808
layer94 maxv:22.8306 minv:-25.6013
layer95 maxv:7.4209 minv:-0.317644
layer96 maxv:30.8824 minv:-2.15197
layer97 maxv:26.7072 minv:-1.97058
layer98 maxv:21.195 minv:-2.43863
layer99 maxv:24.884 minv:-0.71656
layer100 maxv:29.0683 minv:-1.40696
layer101 maxv:21.2175 minv:-0.811399
layer102 maxv:23.0948 minv:-1.25299
layer103 maxv:15.3407 minv:-0.860998
layer104 maxv:22.1203 minv:-0.904809
layer105 maxv:20.3417 minv:-0.64049
layer106 maxv:21.7298 minv:-1.55648
layer107 maxv:13.9855 minv:-1.02298
layer108 maxv:18.8773 minv:-1.00282
layer109 maxv:15.9676 minv:-1.41833
layer110 maxv:1.61028 minv:-0.0642845
layer111 maxv:0.694708 minv:0.0347224
layer112 maxv:5.7143 minv:-0.796956
layer113 maxv:14.6134 minv:-1.13268
layer114 maxv:10.2156 minv:-11.4744
layer115 maxv:9.62402 minv:-0.977374
layer116 maxv:9.57274 minv:-10.4001
layer117 maxv:2.33532 minv:-41.1111
layer118 maxv:11.8286 minv:-1.36751
layer119 maxv:9.99382 minv:-7.65378
layer120 maxv:10.078 minv:-0.856444
layer121 maxv:13.9443 minv:-14.4151
layer122 maxv:28.0386 minv:-40.1116
