layer0 maxv:24.6162 minv:-1.1832
layer1 maxv:15.0337 minv:-1.09856
layer2 maxv:44.6289 minv:-46.0379
layer3 maxv:52.7352 minv:-3.26581
layer4 maxv:12.5502 minv:-1.66947
layer5 maxv:30.8669 minv:-1.59852
layer6 maxv:19.0041 minv:-0.931051
layer7 maxv:24.4866 minv:-2.24908
layer8 maxv:23.7623 minv:-1.41834
layer9 maxv:22.8347 minv:-1.54411
layer10 maxv:16.7014 minv:-0.810858
layer11 maxv:24.5357 minv:-1.007
layer12 maxv:18.3461 minv:-2.12944
layer13 maxv:26.0864 minv:-2.18551
layer14 maxv:17.9467 minv:-1.29671
layer15 maxv:17.5049 minv:-1.27992
layer16 maxv:10.4234 minv:-0.550978
layer17 maxv:15.2439 minv:-0.96451
layer18 maxv:11.9007 minv:-0.571963
layer19 maxv:13.8998 minv:-0.566032
layer20 maxv:11.0618 minv:-0.492985
layer21 maxv:21.1201 minv:-0.795
layer22 maxv:11.6871 minv:-0.453631
layer23 maxv:14.3936 minv:-0.580033
layer24 maxv:9.25985 minv:-0.394669
layer25 maxv:19.4264 minv:-0.776925
layer26 maxv:10.3875 minv:-0.489796
layer27 maxv:19.1394 minv:-1.11795
layer28 maxv:13.4139 minv:-0.991899
layer29 maxv:16.6753 minv:-0.868752
layer30 maxv:16.6753 minv:-0.29755
layer31 maxv:16.6753 minv:-0.227861
layer32 maxv:16.6753 minv:-0.199317
layer33 maxv:15.4455 minv:-0.849289
layer34 maxv:23.8756 minv:-1.18568
layer35 maxv:34.716 minv:-1.35773
layer36 maxv:2.23704 minv:-0.530627
layer37 maxv:0.900798 minv:0.00902236
layer38 maxv:6.51776 minv:-0.461093
layer39 maxv:17.8467 minv:-1.25598
layer40 maxv:10.2274 minv:-7.99886
layer41 maxv:36.5117 minv:-2.18645
layer42 maxv:21.3028 minv:-24.9356
layer43 maxv:1.77819 minv:-53.0328
layer44 maxv:9.98472 minv:-3.18856
layer45 maxv:6.76584 minv:-7.02805
layer46 maxv:10.8369 minv:-0.483491
layer47 maxv:9.00441 minv:-7.85647
layer48 maxv:17.2518 minv:-14.0377
layer49 maxv:6.51776 minv:-0.461093
layer50 maxv:25.7268 minv:-2.13882
layer51 maxv:28.015 minv:-0.889156
layer52 maxv:2.10005 minv:-0.241961
layer53 maxv:0.775022 minv:0.0664103
layer54 maxv:11.926 minv:-0.239916
layer55 maxv:27.5149 minv:-1.83269
layer56 maxv:18.5869 minv:-12.4677
layer57 maxv:48.447 minv:-2.33418
layer58 maxv:20.8398 minv:-19.5535
layer59 maxv:1.18582 minv:-49.2634
layer60 maxv:20.1072 minv:-1.9821
layer61 maxv:11.4721 minv:-14.8111
layer62 maxv:14.2064 minv:-1.05763
layer63 maxv:15.307 minv:-14.0749
layer64 maxv:19.2142 minv:-17.2825
