layer0 maxv:15.2314 minv:-1.92779
layer1 maxv:33.8123 minv:-1.70906
layer2 maxv:35.5739 minv:-34.415
layer3 maxv:42.2826 minv:-3.3032
layer4 maxv:38.511 minv:-2.53891
layer5 maxv:42.6902 minv:-2.76701
layer6 maxv:50.2046 minv:-3.81171
layer7 maxv:46.0415 minv:-2.90144
layer8 maxv:48.9075 minv:-3.2826
layer9 maxv:40.2456 minv:-3.48984
layer10 maxv:46.9884 minv:-3.1967
layer11 maxv:34.4533 minv:-3.66818
layer12 maxv:53.2258 minv:-2.75888
layer13 maxv:37.2466 minv:-3.40211
layer14 maxv:24.5225 minv:-2.52578
layer15 maxv:23.2579 minv:-2.46246
layer16 maxv:29.954 minv:-2.25917
layer17 maxv:29.2663 minv:-2.9141
layer18 maxv:28.2258 minv:-2.55553
layer19 maxv:37.4084 minv:-2.8462
layer20 maxv:28.1118 minv:-2.35984
layer21 maxv:34.3473 minv:-2.42512
layer22 maxv:26.3335 minv:-2.25465
layer23 maxv:23.9224 minv:-2.54855
layer24 maxv:23.2905 minv:-2.13516
layer25 maxv:31.8374 minv:-2.05029
layer26 maxv:17.5328 minv:-2.24625
layer27 maxv:18.6987 minv:-2.19866
layer28 maxv:16.5223 minv:-1.90731
layer29 maxv:22.5148 minv:-2.25656
layer30 maxv:21.3807 minv:-1.9019
layer31 maxv:18.0027 minv:-2.22662
layer32 maxv:19.8881 minv:-2.08026
layer33 maxv:11.5237 minv:-2.03548
layer34 maxv:11.5237 minv:-1.35195
layer35 maxv:11.5237 minv:-1.24183
layer36 maxv:11.5237 minv:-1.21908
layer37 maxv:9.84369 minv:-1.52971
layer38 maxv:11.9925 minv:-1.52269
layer39 maxv:10.176 minv:-1.63319
layer40 maxv:9.50785 minv:-1.60874
layer41 maxv:9.91453 minv:-1.62035
layer42 maxv:9.27262 minv:-1.56463
layer43 maxv:7.57055 minv:-1.49342
layer44 maxv:10.7441 minv:-1.65499
layer45 maxv:6.4128 minv:-1.39875
layer46 maxv:8.46373 minv:-1.44783
layer47 maxv:7.0122 minv:-1.37429
layer48 maxv:11.0089 minv:-1.3943
layer49 maxv:8.55044 minv:-1.38393
layer50 maxv:13.1639 minv:-1.51505
layer51 maxv:11.0715 minv:-1.38368
layer52 maxv:7.78404 minv:-1.57632
layer53 maxv:9.60812 minv:-1.47445
layer54 maxv:10.3074 minv:-1.40672
layer55 maxv:10.1678 minv:-1.38802
layer56 maxv:4.78213 minv:-1.11379
layer57 maxv:1.95885 minv:-0.996653
layer58 maxv:5.87441 minv:-1.24977
layer59 maxv:11.0639 minv:-1.71698
layer60 maxv:7.31442 minv:-8.01043
layer61 maxv:7.78067 minv:-1.4426
layer62 maxv:5.76921 minv:-7.21998
layer63 maxv:-0.632179 minv:-28.6788
layer64 maxv:12.3225 minv:-1.71094
layer65 maxv:10.4521 minv:-9.29147
layer66 maxv:10.5151 minv:-1.46699
layer67 maxv:12.5502 minv:-10.9618
layer68 maxv:15.2561 minv:-18.916
layer69 maxv:5.87441 minv:-1.24977
layer70 maxv:9.97938 minv:-1.59376
layer71 maxv:9.04323 minv:-1.42272
layer72 maxv:10.5186 minv:-1.6094
layer73 maxv:11.391 minv:-1.52249
layer74 maxv:11.9356 minv:-1.74932
layer75 maxv:13.0707 minv:-1.45579
layer76 maxv:13.149 minv:-1.87565
layer77 maxv:13.0438 minv:-1.62706
layer78 maxv:17.8254 minv:-1.92742
layer79 maxv:18.3527 minv:-1.45315
layer80 maxv:18.2132 minv:-1.92677
layer81 maxv:11.5833 minv:-1.79702
layer82 maxv:3.11522 minv:-1.19937
layer83 maxv:1.97263 minv:-0.97331
layer84 maxv:8.4209 minv:-1.31764
layer85 maxv:21.2886 minv:-1.95738
layer86 maxv:14.9138 minv:-11.1548
layer87 maxv:14.2226 minv:-1.68246
layer88 maxv:15.381 minv:-11.9906
layer89 maxv:3.18663 minv:-38.7339
layer90 maxv:15.8021 minv:-2.47153
layer91 maxv:13.9595 minv:-12.4619
layer92 maxv:13.331 minv:-1.91453
layer93 maxv:13.049 minv:-14.0808
layer94 maxv:23.8306 minv:-26.6013
layer95 maxv:8.4209 minv:-1.31764
layer96 maxv:31.8824 minv:-3.15197
layer97 maxv:27.7072 minv:-2.97058
layer98 maxv:22.195 minv:-3.43863
layer99 maxv:25.884 minv:-1.71656
layer100 maxv:30.0683 minv:-2.40696
layer101 maxv:22.2175 minv:-1.8114
layer102 maxv:24.0948 minv:-2.25299
layer103 maxv:16.3407 minv:-1.861
layer104 maxv:23.1203 minv:-1.90481
layer105 maxv:21.3417 minv:-1.64049
layer106 maxv:22.7298 minv:-2.55648
layer107 maxv:14.9855 minv:-2.02298
layer108 maxv:19.8773 minv:-2.00282
layer109 maxv:16.9676 minv:-2.41833
layer110 maxv:2.61028 minv:-1.06428
layer111 maxv:1.69471 minv:-0.965278
layer112 maxv:6.7143 minv:-1.79696
layer113 maxv:15.6134 minv:-2.13268
layer114 maxv:11.2156 minv:-12.4744
layer115 maxv:10.624 minv:-1.97737
layer116 maxv:10.5727 minv:-11.4001
layer117 maxv:3.33532 minv:-42.1111
layer118 maxv:12.8286 minv:-2.36751
layer119 maxv:10.9938 minv:-8.65378
layer120 maxv:11.078 minv:-1.85644
layer121 maxv:14.9443 minv:-15.4151
layer122 maxv:29.0386 minv:-41.1116
