layer0 maxv:19.6568 minv:-1.21213
layer1 maxv:37.5463 minv:-2.07628
layer2 maxv:13.7154 minv:-24.9333
layer3 maxv:22.6787 minv:-2.42061
layer4 maxv:11.4537 minv:-1.09095
layer5 maxv:15.3018 minv:-0.69609
layer6 maxv:13.3232 minv:-0.812097
layer7 maxv:9.6626 minv:-1.44452
layer8 maxv:13.6681 minv:-0.615896
layer9 maxv:14.9352 minv:-1.38491
layer10 maxv:12.658 minv:-0.933576
layer11 maxv:6.94413 minv:-0.336009
layer12 maxv:12.2119 minv:-0.845772
layer13 maxv:8.18358 minv:-0.947345
layer14 maxv:9.04712 minv:-0.639337
layer15 maxv:10.2372 minv:-0.852796
layer16 maxv:8.99893 minv:-0.40452
layer17 maxv:14.2711 minv:-1.15826
layer18 maxv:11.0988 minv:-0.613434
layer19 maxv:11.9364 minv:-0.909613
layer20 maxv:17.3775 minv:-0.629018
layer21 maxv:17.5937 minv:-0.80649
layer22 maxv:20.3588 minv:-0.652898
layer23 maxv:12.0367 minv:-1.16217
layer24 maxv:15.7062 minv:-0.699821
layer25 maxv:16.6908 minv:-0.857785
layer26 maxv:11.5167 minv:-0.676012
layer27 maxv:10.1479 minv:-0.866032
layer28 maxv:8.68679 minv:-0.52123
layer29 maxv:11.8361 minv:-0.792341
layer30 maxv:9.59055 minv:-0.521627
layer31 maxv:10.7871 minv:-0.671656
layer32 maxv:7.70195 minv:-0.648713
layer33 maxv:6.9598 minv:-0.458898
layer34 maxv:6.9598 minv:-0.179
layer35 maxv:6.9598 minv:-0.1109
layer36 maxv:6.9598 minv:-0.102964
layer37 maxv:9.11767 minv:-0.442597
layer38 maxv:10.5245 minv:-0.676182
layer39 maxv:6.90882 minv:-0.551292
layer40 maxv:8.29827 minv:-0.571738
layer41 maxv:11.732 minv:-0.369274
layer42 maxv:9.84567 minv:-0.703758
layer43 maxv:11.2252 minv:-0.377582
layer44 maxv:7.93989 minv:-0.561143
layer45 maxv:8.5898 minv:-0.329501
layer46 maxv:9.05774 minv:-0.466142
layer47 maxv:10.056 minv:-0.528085
layer48 maxv:9.90781 minv:-0.453653
layer49 maxv:10.4035 minv:-0.350437
layer50 maxv:10.0094 minv:-0.600726
layer51 maxv:8.90142 minv:-0.398382
layer52 maxv:11.7303 minv:-0.419002
layer53 maxv:6.97078 minv:-0.480333
layer54 maxv:7.53637 minv:-0.519132
layer55 maxv:11.0741 minv:-0.361857
layer56 maxv:3.10309 minv:-0.101904
layer57 maxv:0.699065 minv:0.163329
layer58 maxv:4.79311 minv:-0.177633
layer59 maxv:7.04703 minv:-0.530978
layer60 maxv:10.8288 minv:-6.7171
layer61 maxv:11.1774 minv:-0.937196
layer62 maxv:9.27562 minv:-12.3928
layer63 maxv:2.33234 minv:-30.7483
layer64 maxv:7.64164 minv:-0.480424
layer65 maxv:11.0247 minv:-11.1575
layer66 maxv:10.0999 minv:-0.349207
layer67 maxv:30.8527 minv:-22.6901
layer68 maxv:12.5093 minv:-12.5927
layer69 maxv:4.79311 minv:-0.177633
layer70 maxv:8.31979 minv:-0.402856
layer71 maxv:7.59281 minv:-0.522133
layer72 maxv:9.39336 minv:-0.470931
layer73 maxv:13.0535 minv:-0.475942
layer74 maxv:10.9335 minv:-0.636911
layer75 maxv:16.0429 minv:-0.490236
layer76 maxv:10.3849 minv:-0.824986
layer77 maxv:8.8949 minv:-0.731079
layer78 maxv:10.7633 minv:-0.547925
layer79 maxv:10.4198 minv:-0.700045
layer80 maxv:13.621 minv:-0.458582
layer81 maxv:15.1483 minv:-0.507623
layer82 maxv:3.07368 minv:-0.0716226
layer83 maxv:0.775457 minv:0.105731
layer84 maxv:7.50513 minv:-0.313578
layer85 maxv:11.5737 minv:-0.733943
layer86 maxv:10.9451 minv:-11.7831
layer87 maxv:14.3132 minv:-0.741946
layer88 maxv:13.1329 minv:-11.8603
layer89 maxv:2.5872 minv:-37.2115
layer90 maxv:8.5761 minv:-0.536946
layer91 maxv:12.885 minv:-12.3558
layer92 maxv:11.7447 minv:-0.67268
layer93 maxv:31.6925 minv:-29.8218
layer94 maxv:12.5322 minv:-10.8761
layer95 maxv:7.50513 minv:-0.313578
layer96 maxv:10.626 minv:-0.767324
layer97 maxv:10.9758 minv:-0.958567
layer98 maxv:9.38787 minv:-0.85317
layer99 maxv:15.5176 minv:-0.455153
layer100 maxv:12.4717 minv:-0.605286
layer101 maxv:14.6807 minv:-0.549615
layer102 maxv:14.4855 minv:-0.603237
layer103 maxv:21.1288 minv:-0.462958
layer104 maxv:19.4295 minv:-1.11886
layer105 maxv:13.3344 minv:-0.896251
layer106 maxv:12.0643 minv:-0.57697
layer107 maxv:12.1 minv:-0.678689
layer108 maxv:19.0134 minv:-1.65975
layer109 maxv:64.0633 minv:-1.50009
layer110 maxv:2.61323 minv:-0.186323
layer111 maxv:0.665327 minv:0.0500508
layer112 maxv:13.1316 minv:-0.612225
layer113 maxv:30.3304 minv:-1.3391
layer114 maxv:34.9356 minv:-38.5206
layer115 maxv:23.7205 minv:-2.76259
layer116 maxv:25.2519 minv:-20.9135
layer117 maxv:3.12639 minv:-57.2043
layer118 maxv:14.2165 minv:-3.0921
layer119 maxv:17.0521 minv:-15.0927
layer120 maxv:16.5185 minv:-0.857719
layer121 maxv:29.3837 minv:-24.9816
layer122 maxv:16.1653 minv:-21.4571
