layer0 maxv:14.3117 minv:-0.639059
layer1 maxv:30.1947 minv:-0.759612
layer2 maxv:30.3902 minv:-35.6846
layer3 maxv:41.7917 minv:-2.82855
layer4 maxv:23.9349 minv:-1.18775
layer5 maxv:21.6926 minv:-2.09682
layer6 maxv:23.0955 minv:-0.977991
layer7 maxv:13.9057 minv:-1.7919
layer8 maxv:9.86792 minv:-0.725249
layer9 maxv:11.8999 minv:-0.807333
layer10 maxv:8.23653 minv:-0.740308
layer11 maxv:16.233 minv:-0.607579
layer12 maxv:14.0596 minv:-1.59292
layer13 maxv:11.938 minv:-1.08924
layer14 maxv:11.3337 minv:-0.79891
layer15 maxv:13.3564 minv:-0.668215
layer16 maxv:7.74548 minv:-0.253838
layer17 maxv:8.77134 minv:-0.497042
layer18 maxv:8.02553 minv:-0.37237
layer19 maxv:10.402 minv:-0.539211
layer20 maxv:7.13447 minv:-0.394981
layer21 maxv:11.9359 minv:-0.481578
layer22 maxv:9.60655 minv:-0.388052
layer23 maxv:8.82961 minv:-0.43098
layer24 maxv:8.95005 minv:-0.379026
layer25 maxv:10.5951 minv:-0.536744
layer26 maxv:9.49653 minv:-0.344387
layer27 maxv:9.25621 minv:-0.641342
layer28 maxv:8.02421 minv:-0.363878
layer29 maxv:13.0976 minv:-0.539385
layer30 maxv:11.884 minv:-0.524671
layer31 maxv:14.7373 minv:-0.5922
layer32 maxv:6.81857 minv:-0.55951
layer33 maxv:8.53889 minv:-0.448376
layer34 maxv:8.53889 minv:-0.177133
layer35 maxv:8.53889 minv:-0.12278
layer36 maxv:8.53889 minv:-0.101138
layer37 maxv:8.49435 minv:-0.370596
layer38 maxv:10.8345 minv:-0.520668
layer39 maxv:9.61272 minv:-0.343831
layer40 maxv:9.74115 minv:-0.46123
layer41 maxv:8.58637 minv:-0.354991
layer42 maxv:10.6863 minv:-0.510029
layer43 maxv:8.72711 minv:-0.445877
layer44 maxv:8.61029 minv:-0.453195
layer45 maxv:8.14512 minv:-0.368138
layer46 maxv:10.7644 minv:-0.625621
layer47 maxv:10.8114 minv:-0.439982
layer48 maxv:11.1699 minv:-0.603812
layer49 maxv:8.33813 minv:-0.477776
layer50 maxv:8.67798 minv:-0.59549
layer51 maxv:7.64502 minv:-0.573268
layer52 maxv:8.51666 minv:-0.576466
layer53 maxv:9.05699 minv:-0.368592
layer54 maxv:11.6663 minv:-0.489042
layer55 maxv:24.4299 minv:-0.820704
layer56 maxv:2.04145 minv:-0.197632
layer57 maxv:0.596865 minv:0.0376381
layer58 maxv:10.0548 minv:-0.248818
layer59 maxv:8.42784 minv:-0.567673
layer60 maxv:6.85722 minv:-7.8318
layer61 maxv:7.86247 minv:-0.496669
layer62 maxv:7.55931 minv:-5.73338
layer63 maxv:0.0137994 minv:-37.0326
layer64 maxv:7.94181 minv:-0.542021
layer65 maxv:7.80672 minv:-9.42505
layer66 maxv:10.3158 minv:-0.31061
layer67 maxv:8.57362 minv:-9.80118
layer68 maxv:7.78421 minv:-5.18507
layer69 maxv:10.0548 minv:-0.248818
layer70 maxv:9.54821 minv:-0.399733
layer71 maxv:10.3766 minv:-0.55042
layer72 maxv:10.2038 minv:-0.480378
layer73 maxv:10.6069 minv:-0.319285
layer74 maxv:13.9155 minv:-0.515283
layer75 maxv:8.10877 minv:-0.453926
layer76 maxv:15.8554 minv:-0.830631
layer77 maxv:9.68781 minv:-0.521766
layer78 maxv:10.0028 minv:-1.32323
layer79 maxv:9.40428 minv:-0.439305
layer80 maxv:16.533 minv:-0.520535
layer81 maxv:21.9364 minv:-1.92314
layer82 maxv:1.54852 minv:-0.132301
layer83 maxv:0.765179 minv:0.132517
layer84 maxv:10.4711 minv:-0.351306
layer85 maxv:13.8661 minv:-1.12679
layer86 maxv:12.1416 minv:-12.3769
layer87 maxv:23.6681 minv:-1.25964
layer88 maxv:16.2713 minv:-20.0731
layer89 maxv:2.16145 minv:-76.7993
layer90 maxv:12.3806 minv:-1.68361
layer91 maxv:8.55209 minv:-11.9812
layer92 maxv:8.07277 minv:-0.453408
layer93 maxv:9.36555 minv:-8.17832
layer94 maxv:11.4087 minv:-8.72847
layer95 maxv:10.4711 minv:-0.351306
layer96 maxv:38.2307 minv:-1.26243
layer97 maxv:25.3348 minv:-1.45432
layer98 maxv:25.9244 minv:-1.0271
layer99 maxv:9.28005 minv:-0.557794
layer100 maxv:9.61679 minv:-0.441675
layer101 maxv:7.75058 minv:-0.409082
layer102 maxv:10.4984 minv:-0.929912
layer103 maxv:9.63866 minv:-0.343878
layer104 maxv:12.7042 minv:-0.536583
layer105 maxv:9.59073 minv:-0.413148
layer106 maxv:14.049 minv:-1.42164
layer107 maxv:20.3283 minv:-0.710492
layer108 maxv:38.3458 minv:-2.69669
layer109 maxv:46.5629 minv:-2.00472
layer110 maxv:1.79954 minv:-0.226117
layer111 maxv:0.582742 minv:0.0882609
layer112 maxv:6.57048 minv:-0.341844
layer113 maxv:28.836 minv:-1.04941
layer114 maxv:17.9535 minv:-21.427
layer115 maxv:37.2117 minv:-2.90974
layer116 maxv:33.0762 minv:-22.3503
layer117 maxv:1.88716 minv:-85.3544
layer118 maxv:12.3358 minv:-1.30358
layer119 maxv:8.2996 minv:-9.5174
layer120 maxv:10.2368 minv:-0.479416
layer121 maxv:10.7268 minv:-9.29664
layer122 maxv:22.1712 minv:-13.7595
