layer0 maxv:27.7918 minv:-1.56651
layer1 maxv:78.0026 minv:-4.21037
layer2 maxv:33.9963 minv:-71.8232
layer3 maxv:18.2042 minv:-5.62528
layer4 maxv:10.5977 minv:-0.818745
layer5 maxv:14.6856 minv:-0.703518
layer6 maxv:16.172 minv:-0.411058
layer7 maxv:10.8634 minv:-0.56341
layer8 maxv:9.59359 minv:-0.610075
layer9 maxv:18.9416 minv:-0.958607
layer10 maxv:13.3868 minv:-0.799371
layer11 maxv:13.6736 minv:-0.829787
layer12 maxv:17.3145 minv:-0.641981
layer13 maxv:13.3196 minv:-0.955241
layer14 maxv:8.30657 minv:-0.793949
layer15 maxv:8.67934 minv:-0.608415
layer16 maxv:10.6686 minv:-0.329713
layer17 maxv:11.8381 minv:-0.566607
layer18 maxv:7.19748 minv:-0.360251
layer19 maxv:10.8325 minv:-0.452935
layer20 maxv:7.91823 minv:-0.367097
layer21 maxv:10.9307 minv:-0.467003
layer22 maxv:8.12478 minv:-0.392187
layer23 maxv:10.707 minv:-0.484357
layer24 maxv:6.85392 minv:-0.435946
layer25 maxv:12.516 minv:-0.441399
layer26 maxv:9.54552 minv:-0.335075
layer27 maxv:9.49399 minv:-0.692978
layer28 maxv:8.82423 minv:-0.450418
layer29 maxv:11.4906 minv:-0.60799
layer30 maxv:11.1385 minv:-0.436985
layer31 maxv:18.7321 minv:-0.795431
layer32 maxv:7.43021 minv:-0.526061
layer33 maxv:8.33778 minv:-0.549868
layer34 maxv:8.33778 minv:-0.150819
layer35 maxv:8.33778 minv:-0.094539
layer36 maxv:8.33778 minv:-0.0684977
layer37 maxv:10.6232 minv:-0.47126
layer38 maxv:12.4229 minv:-0.963424
layer39 maxv:8.23359 minv:-0.455711
layer40 maxv:8.07397 minv:-0.523389
layer41 maxv:11.9164 minv:-0.402735
layer42 maxv:12.8292 minv:-0.52072
layer43 maxv:12.0399 minv:-0.390689
layer44 maxv:12.3519 minv:-0.542058
layer45 maxv:9.10709 minv:-0.441851
layer46 maxv:12.8492 minv:-0.54777
layer47 maxv:9.44766 minv:-0.478617
layer48 maxv:12.5291 minv:-0.485528
layer49 maxv:7.12976 minv:-0.427498
layer50 maxv:7.27038 minv:-0.575614
layer51 maxv:7.55464 minv:-0.466856
layer52 maxv:7.60752 minv:-0.563576
layer53 maxv:9.10392 minv:-0.399689
layer54 maxv:16.5495 minv:-0.601319
layer55 maxv:26.1493 minv:-0.465958
layer56 maxv:2.44399 minv:-0.116555
layer57 maxv:0.778886 minv:0.0541803
layer58 maxv:5.50385 minv:-0.329239
layer59 maxv:7.78021 minv:-0.541311
layer60 maxv:6.65111 minv:-6.34628
layer61 maxv:9.16928 minv:-0.361858
layer62 maxv:9.8634 minv:-6.71703
layer63 maxv:-0.212553 minv:-42.8916
layer64 maxv:7.975 minv:-0.512642
layer65 maxv:6.84509 minv:-7.26487
layer66 maxv:7.58676 minv:-0.421923
layer67 maxv:9.43291 minv:-8.52041
layer68 maxv:8.67525 minv:-5.8599
layer69 maxv:5.50385 minv:-0.329239
layer70 maxv:12.2729 minv:-0.778176
layer71 maxv:11.7206 minv:-0.565463
layer72 maxv:10.0562 minv:-0.871121
layer73 maxv:8.98423 minv:-0.435117
layer74 maxv:9.65356 minv:-0.99004
layer75 maxv:7.68121 minv:-0.40544
layer76 maxv:14.8784 minv:-0.789197
layer77 maxv:11.9555 minv:-0.339379
layer78 maxv:12.2918 minv:-0.761246
layer79 maxv:12.5349 minv:-0.531733
layer80 maxv:18.2092 minv:-1.20443
layer81 maxv:11.4949 minv:-0.901604
layer82 maxv:2.49825 minv:-0.111485
layer83 maxv:0.954153 minv:0.16758
layer84 maxv:9.38842 minv:-0.8273
layer85 maxv:20.2541 minv:-0.888479
layer86 maxv:13.2168 minv:-23.3718
layer87 maxv:44.9044 minv:-1.78538
layer88 maxv:20.9371 minv:-16.9876
layer89 maxv:1.49856 minv:-76.2865
layer90 maxv:13.0905 minv:-1.28977
layer91 maxv:11.9888 minv:-7.66993
layer92 maxv:9.4795 minv:-0.482943
layer93 maxv:9.62762 minv:-8.43427
layer94 maxv:13.1224 minv:-12.3119
layer95 maxv:9.38842 minv:-0.8273
layer96 maxv:39.7191 minv:-0.912045
layer97 maxv:30.1858 minv:-0.968827
layer98 maxv:41.0928 minv:-1.06455
layer99 maxv:10.632 minv:-0.416167
layer100 maxv:11.2216 minv:-0.445571
layer101 maxv:6.97004 minv:-0.382241
layer102 maxv:14.3659 minv:-0.55757
layer103 maxv:6.08839 minv:-0.434388
layer104 maxv:16.0564 minv:-0.585406
layer105 maxv:7.73408 minv:-0.587394
layer106 maxv:10.5567 minv:-0.686707
layer107 maxv:14.9476 minv:-0.582399
layer108 maxv:33.9559 minv:-1.66643
layer109 maxv:16.2021 minv:-1.22135
layer110 maxv:1.93013 minv:-0.133211
layer111 maxv:0.60314 minv:0.103714
layer112 maxv:7.3615 minv:-0.336012
layer113 maxv:21.3321 minv:-3.76653
layer114 maxv:12.6093 minv:-17.6029
layer115 maxv:76.3059 minv:-1.8947
layer116 maxv:37.2636 minv:-22.5201
layer117 maxv:1.48717 minv:-132.963
layer118 maxv:12.1876 minv:-2.59042
layer119 maxv:9.00466 minv:-8.50171
layer120 maxv:9.25298 minv:-0.678736
layer121 maxv:11.4618 minv:-9.29034
layer122 maxv:17.7635 minv:-13.2985
