layer0 maxv:8.61404 minv:-0.531166
layer1 maxv:7.25192 minv:-0.702315
layer2 maxv:11.6185 minv:-9.23319
layer3 maxv:17.0716 minv:-1.03443
layer4 maxv:6.72166 minv:-0.421761
layer5 maxv:9.49356 minv:-0.640193
layer6 maxv:5.57755 minv:-0.54708
layer7 maxv:9.56565 minv:-0.570293
layer8 maxv:7.73757 minv:-0.490063
layer9 maxv:12.8134 minv:-0.642244
layer10 maxv:8.07137 minv:-0.493956
layer11 maxv:9.75361 minv:-0.52877
layer12 maxv:9.07159 minv:-0.54537
layer13 maxv:8.74055 minv:-0.660356
layer14 maxv:7.43577 minv:-0.487859
layer15 maxv:8.13499 minv:-0.454274
layer16 maxv:8.07417 minv:-0.44563
layer17 maxv:9.24577 minv:-0.552891
layer18 maxv:9.77666 minv:-0.508542
layer19 maxv:11.2484 minv:-0.539632
layer20 maxv:9.35429 minv:-0.679939
layer21 maxv:10.8282 minv:-0.738118
layer22 maxv:10.2462 minv:-0.538653
layer23 maxv:11.3717 minv:-0.788567
layer24 maxv:10.1986 minv:-0.508947
layer25 maxv:13.6416 minv:-0.736779
layer26 maxv:9.66057 minv:-0.548193
layer27 maxv:18.9059 minv:-0.792928
layer28 maxv:8.11673 minv:-0.70416
layer29 maxv:6.70588 minv:-0.515765
layer30 maxv:6.70588 minv:-0.288835
layer31 maxv:6.70588 minv:-0.189887
layer32 maxv:6.70588 minv:-0.153983
layer33 maxv:6.3705 minv:-0.47199
layer34 maxv:5.34699 minv:-0.536172
layer35 maxv:4.02254 minv:-0.363325
layer36 maxv:1.88307 minv:-0.144039
layer37 maxv:0.87355 minv:0.199531
layer38 maxv:2.61223 minv:-0.205562
layer39 maxv:6.04133 minv:-0.454524
layer40 maxv:3.86432 minv:-4.28615
layer41 maxv:4.67781 minv:-0.353366
layer42 maxv:6.12342 minv:-5.19453
layer43 maxv:-2.14692 minv:-21.0981
layer44 maxv:5.74864 minv:-0.328461
layer45 maxv:4.51308 minv:-3.84503
layer46 maxv:5.24372 minv:-0.271404
layer47 maxv:4.81878 minv:-5.52306
layer48 maxv:7.33062 minv:-6.04032
layer49 maxv:2.61223 minv:-0.205562
layer50 maxv:7.40161 minv:-0.522343
layer51 maxv:8.30201 minv:-0.403108
layer52 maxv:3.66103 minv:-0.174959
layer53 maxv:0.484047 minv:0.03698
layer54 maxv:2.1561 minv:-0.154544
layer55 maxv:6.38571 minv:-0.49042
layer56 maxv:4.15146 minv:-4.23507
layer57 maxv:5.52841 minv:-0.353339
layer58 maxv:6.02781 minv:-5.50068
layer59 maxv:0.638718 minv:-23.9965
layer60 maxv:6.14702 minv:-0.635827
layer61 maxv:5.31085 minv:-4.70941
layer62 maxv:5.31979 minv:-0.313881
layer63 maxv:7.37703 minv:-6.89444
layer64 maxv:12.3373 minv:-17.5662
